disease,symptom,Number of diseases,values
Endometriosis of pleura,Pain finding,1360,1
Drug-induced acute pulmonary edema,Acute edema,110,1
Toxic pulmonary edema,Acute edema,110,1
Chemical-induced pulmonary edema,Acute edema,110,1
Oxygen-induced pulmonary edema,Acute edema,110,1
Lofgrens syndrome,Mass of lymphoreticular structure,50,1
Bilateral hilar adenopathy syndrome,Mass of lymphoreticular structure,50,1
Lofgrens syndrome,Mass of trunk,40,1
Bilateral hilar adenopathy syndrome,Mass of trunk,40,1
Infected bronchogenic cyst,Mass of respiratory structure,110,1
Stable angina disorder,Angina,230,1
Stable angina disorder,Ischemic chest pain,230,1
Stable angina disorder,Pain finding,1360,1
Stable angina disorder,Other forms of angina pectoris,140,1
New onset angina,Angina,230,1
New onset angina,Ischemic chest pain,230,1
New onset angina,Pain finding,1360,1
New onset angina,Other forms of angina pectoris,140,1
Pulmonary capillary hemangiomatosis,Mass of respiratory structure,110,1
Pulmonary capillary hemangiomatosis,Mass of cardiovascular structure,40,1
Simple faint,Syncope symptom,120,1
Simple faint,Syncope and collapse,120,1
Neurally-mediated syncope,Syncope symptom,120,1
Neurally-mediated syncope,Syncope and collapse,120,1
Malignant vasovagal syndrome,Syncope symptom,120,1
Malignant vasovagal syndrome,Syncope and collapse,120,1
Elderly vasovagal syndrome,Syncope symptom,120,1
Elderly vasovagal syndrome,Syncope and collapse,120,1
Situational syncope,Syncope symptom,120,1
Situational syncope,Syncope and collapse,120,1
Situational syncope,Effort syncope,10,1
Defecation syncope,Syncope symptom,120,1
Defecation syncope,Syncope and collapse,120,1
Deglutition syncope,Syncope symptom,120,1
Deglutition syncope,Syncope and collapse,120,1
Syphilitic gumma of oral cavity,Gummatous inflammation morphologic abnormality,80,1
Oral erythematous candidiasis,Erythema of skin,890,1
Oral erythematous candidiasis,Erythematous condition,890,1
Other functional disorder of the intestine NOS,Absent peristalsis,10,1
Other functional disorders of the intestine,Absent peristalsis,10,1
Hamartoma of stomach,Mass of digestive structure,220,1
Food intolerance NEC,Food intolerance,30,1
Appendix mass,Mass of digestive structure,220,1
Irritable bowel syndrome variant of childhood with constipation,Constipation disorder,120,1
Vulval warts,Mass of female genital structure,70,1
Endometriosis of myometrium,Pain finding,1360,1
Endometriosis interna,Pain finding,1360,1
Eclampsia in labor,Seizure,1690,1
Nipple infection,Purulent nipple discharge,10,1
Drug-induced virilization,Virilization finding,50,1
Severe systemic illness tissue wasting,Cachexia finding,40,1
Severe systemic illness-induced skeletal muscle wasting,Cachexia finding,40,1
Disorder of blood gas,Hypercapnia disorder,50,1
Disorder of blood gas,Hypocapnia disorder,20,1
Disorder of blood gas,Hyperoxia disorder,10,1
Macula cerulea,Macular eruption,40,1
Maculae ceruleae,Macular eruption,40,1
Macula cerulea,Macule morphologic abnormality,50,1
Maculae ceruleae,Macule morphologic abnormality,50,1
Symptomatic dermographism,Urticaria geographica,20,1
Physical urticaria,Urticaria geographica,20,1
Dermatographic urticaria,Urticaria geographica,20,1
Symptomatic dermographism,Delayed dermographism,20,1
Physical urticaria,Delayed dermographism,20,1
Dermatographic urticaria,Delayed dermographism,20,1
Symptomatic dermographism,Reflex urticaria,20,1
Physical urticaria,Reflex urticaria,20,1
Dermatographic urticaria,Reflex urticaria,20,1
Giant cell arteritis with polymyalgia rheumatica,Pain finding,1360,1
Painful arc syndrome,Pain finding,1360,1
Ganglion of ankle,Mass of lower limb,20,1
Algodystrophy of foot,Pain finding,1360,1
Algodystrophy of knee,Pain finding,1360,1
Algodystrophy of hand,Pain finding,1360,1
Erythema nodosum leprosum,Erythema of skin,890,1
Erythema nodosum leprosum,Erythematous condition,890,1
Macular syphilide,Macular eruption,40,1
Pustular syphilide,Pustular rash morphologic abnormality,70,1
Gummatous neurosyphilis,Gummatous inflammation morphologic abnormality,80,1
Anal warts,Mass of digestive structure,220,1
Perianal warts,Perianal lump,20,1
Donovanosis - inguinal lesion,Groin mass,20,1
Cachexia associated with AIDS,Cachexia finding,40,1
Achromic skin lesions of pinta,Achromia of skin disorder,40,1
Pheohyphomycotic subcutaneous cyst,Mass of body region,30,1
Hepatic schistosomal granuloma,Mass of digestive structure,220,1
Horizontal spasm of gaze,Spasm of conjugate gaze,30,1
Pleuropericardial cyst,Mass of cardiovascular structure,40,1
Liver hematoma,Mass of digestive structure,220,1
Spastic foot,Spastic hemiplegia or spastic foot,10,1
Psychosensory epilepsy,Seizure,1690,1
Somatosensory epilepsy,Seizure,1690,1
"Neuralgia, neuritis and radiculitis unspecified",Neuropathic pain,160,1
"Neuralgia, neuritis and radiculitis unspecified",Femoral neuralgia,30,1
"Neuralgia, neuritis and radiculitis unspecified",Reminiscent neuralgia,10,1
"Neuralgia, neuritis and radiculitis unspecified",Radicular pain,20,1
"Neuralgia, neuritis and radiculitis unspecified",Sympathetically maintained pain,10,1
"Neuralgia, neuritis and radiculitis unspecified",Obturator neuralgia,40,1
"Neuralgia, neuritis and radiculitis unspecified",Segmental peripheral neuralgia,30,1
"Neuralgia, neuritis and radiculitis unspecified",Neurogenic pain,20,1
"Neuralgia, neuritis and radiculitis unspecified",Sympathetically independent pain,10,1
"Neuralgia, neuritis and radiculitis unspecified",Unilateral shortlasting neuralgiform pain with conjunctival injection and tearing syndrome,10,1
"Neuralgia, neuritis and radiculitis unspecified",Peripheral neurogenic pain,10,1
"Neuralgia, neuritis and radiculitis unspecified",Peripheral neuropathic pain,10,1
"Neuralgia, neuritis or radiculitis NOS",Neuropathic pain,160,1
Other psychophysical visual disturbance,Subjective visual disturbance,70,1
Other specified cardiac arrhythmias,Pulsus trigeminus finding,10,1
Other specified cardiac arrhythmias,Labile pulse,10,1
Other specified cardiac arrhythmias,Bigeminal pulse finding,10,1
Other specified diseases of oesophagus,Pain in esophagus,10,1
Other specified diseases of esophagus,Pain in esophagus,10,1
Other specified diseases of oesophagus,Absent deglutition finding,10,1
Other specified diseases of esophagus,Absent deglutition finding,10,1
Other specified diseases of anus and rectum,Anal twitching,10,1
Other specified diseases of liver,Liver pain finding,10,1
Other specified liver disorder,Liver pain finding,10,1
Other specified liver disorder NOS,Liver pain finding,10,1
Other specified diseases of liver,Hepatocellular jaundice,40,1
Other specified liver disorder,Hepatocellular jaundice,40,1
Other specified liver disorder NOS,Hepatocellular jaundice,40,1
Nonorganic insomnia,Insomnia disorder,70,1
Umbilical sepsis,Disorder of umbilicus,120,1
Hypoglossal neuralgia,Pain finding,1360,1
Amaurosis disorder,Amaurosis fugax,40,1
Premenstrual tension syndrome,Symptom occurs premenstrually,10,1
Premenstrual tension syndrome,Premenstrual symptom,10,1
Premenstrual tension syndrome,Premenstrual swelling,10,1
Premenstrual tension syndrome,Premenstrual breast tenderness,10,1
Painful ophthalmoplegia,Ophthalmoplegia disorder,110,1
Painful ophthalmoplegia,Pain finding,1360,1
Acrodermatitis continua,Pustular rash morphologic abnormality,70,1
Infantile hemiplegia,Hemiplegia disorder,110,1
Impairment level: better eye: moderate impairment: lesser eye: not further specified,Impairment level: low vision of both eyes,50,1
Impairment level: better eye: moderate impairment: lesser eye: not further specified,"Low vision, both eyes",50,1
Abnormal involuntary movement,Athetoid movement,80,1
Abnormal involuntary movement,Clonus,10,1
Abnormal involuntary movement,Muscle fasciculation,10,1
Abnormal involuntary movement,Spasticity,20,1
Abnormal involuntary movement,Spasm finding,100,1
Abnormal involuntary movement,Tremor finding,10,1
Abnormal involuntary movement,Opisthotonus finding,10,1
Abnormal involuntary movement,Local spasm,10,1
Abnormal involuntary movement,Muscle twitch finding,10,1
Abnormal involuntary movement,Synkinesis finding,10,1
Abnormal involuntary movement,Trembles,10,1
Abnormal involuntary movement,Persistent tremor,10,1
Abnormal involuntary movement,Continuous tremor,10,1
Abnormal involuntary movement,Intermittent tremor,10,1
Abnormal involuntary movement,Fine tremor,10,1
Abnormal involuntary movement,Coarse tremor,10,1
Abnormal involuntary movement,Massive tremor,10,1
Abnormal involuntary movement,Passive tremor,10,1
Abnormal involuntary movement,Static tremor,20,1
Abnormal involuntary movement,Resting tremor,10,1
Abnormal involuntary movement,Grimaces,20,1
Abnormal involuntary movement,Clasp knife like increase in tone,10,1
Abnormal involuntary movement,Risus sardonicus,10,1
Abnormal involuntary movement,Involuntary movement,50,1
Abnormal involuntary movement,Involuntary movement symptom,50,1
Abnormal involuntary movement,Head movements abnormal,10,1
Abnormal involuntary movement,Pleurothotonus,10,1
Abnormal involuntary movement,Wrist clonus,10,1
Abnormal involuntary movement,Pseudoathetosis,10,1
Abnormal involuntary movement,Thyrotoxic tremor,10,1
Abnormal involuntary movement,Pill rolling,10,1
Abnormal involuntary movement,Involuntary truncal rocking,10,1
Abnormal involuntary movement,Orthostatic tremor,10,1
Abnormal involuntary movement,Chronic tremor,10,1
Rasmussen syndrome,Seizure,1690,1
Early onset cerebellar ataxia,Cerebellar ataxia,110,1
Late onset cerebellar ataxia,Cerebellar ataxia,110,1
Disorder presenting primarily with chorea,Post-hemiplegic chorea,20,1
Kinesiogenic choreoathetosis,Paroxysmal dystonia,40,1
Dystonia,Dystonia finding,10,1
Dystonia,Paroxysmal dystonia,40,1
Dystonia,Diurnal dystonia,20,1
Isolated cervical dystonia,Spasmodic torticollis disorder,40,1
Isolated blepharospasm,Blepharospasm disorder,70,1
Other specified myoclonus,Myoclonic disorder,290,1
Symptomatic myoclonus,Myoclonic disorder,290,1
Post-anoxic myoclonus,Myoclonic disorder,290,1
Segmental cord myoclonus,Myoclonic disorder,290,1
Palatal-tympanic myoclonus,Myoclonic disorder,290,1
Hyoid myoclonus,Myoclonic disorder,290,1
Opsoclonus-myoclonus syndrome,Myoclonic disorder,290,1
Partial epilepsy with autonomic symptoms,Seizure,1690,1
Benign frontal epilepsy of childhood,Seizure,1690,1
Benign psychomotor epilepsy of childhood,Seizure,1690,1
Benign atypical partial epilepsy in childhood,Seizure,1690,1
Epilepsy with recurrent unilateral seizures in children,Seizure,1690,1
Childhood epilepsy with occipital paroxysms,Seizure,1690,1
Benign occipital epilepsy of childhood - early onset variant,Seizure,1690,1
Benign occipital epilepsy of childhood - late onset variant,Seizure,1690,1
Primary inherited reading epilepsy,Seizure,1690,1
Amygdalo-hippocampal epilepsy,Seizure,1690,1
Mesiobasal limbic epilepsy,Seizure,1690,1
Rhinencephalic epilepsy,Seizure,1690,1
Lateral temporal epilepsy,Seizure,1690,1
Supplementary motor epilepsy,Seizure,1690,1
Cingulate epilepsy,Seizure,1690,1
Dorsolateral epilepsy,Seizure,1690,1
Opercular epilepsy,Seizure,1690,1
Non-progressive Kozhevnikow syndrome,Seizure,1690,1
Parietal lobe epilepsy,Seizure,1690,1
Occipital lobe epilepsy,Seizure,1690,1
Chronic progressive epilepsia partialis continua,Seizure,1690,1
Benign non-familial neonatal convulsions,Seizure,1690,1
Myoclonic epilepsy of early childhood,Seizure,1690,1
Epilepsy with grand mal seizures on awakening,Seizure,1690,1
Cryptogenic West syndrome,Seizure,1690,1
Symptomatic West syndrome,Seizure,1690,1
Cryptogenic Lennox-Gastaut syndrome,Seizure,1690,1
Symptomatic Lennox-Gastaut syndrome,Seizure,1690,1
Myoclonic astatic epilepsy,Seizure,1690,1
Myoclonic absence epilepsy,Seizure,1690,1
Early infantile epileptic encephalopathy with suppression bursts,Seizure,1690,1
Epilepsy with continuous spike wave during slow-wave sleep,Seizure,1690,1
Secondary reading epilepsy,Seizure,1690,1
Drug-induced epilepsy,Seizure,1690,1
Narcotic withdrawal epilepsy,Seizure,1690,1
Menstrual epilepsy,Seizure,1690,1
Nocturnal epilepsy,Seizure,1690,1
Photogenic epilepsy,Seizure,1690,1
Photogenic epilepsy,Partial seizure,220,1
Eyelid myoclonus with absences,Seizure,1690,1
Writing epilepsy,Seizure,1690,1
Tactile epilepsy,Seizure,1690,1
Eating epilepsy,Seizure,1690,1
Tapping epilepsy,Seizure,1690,1
Toothbrushing epilepsy,Seizure,1690,1
Decision-making epilepsy,Seizure,1690,1
Aquagenic epilepsy,Seizure,1690,1
Non-convulsive status epilepticus with three per second spike wave,Seizure,1690,1
Non-convulsive status epilepticus without three per second spike wave,Seizure,1690,1
Non-convulsive simple partial status epilepticus,Seizure,1690,1
Non-convulsive simple partial status epilepticus,Partial seizure,220,1
Complex partial status epilepticus,Seizure,1690,1
Complex partial status epilepticus,Partial seizure,220,1
Headache disorder,Headache finding,590,1
Headache disorder,Menopausal headache,30,1
Headache disorder,Idiopathic stabbing headache,10,1
Muscular headache,Headache finding,590,1
Episodic tension-type headache,Headache finding,590,1
Chronic tension-type headache,Headache finding,590,1
Episodic cluster headache,Headache finding,590,1
Chronic cluster headache unremitting from onset,Headache finding,590,1
Chronic cluster headache evolved from episodic cluster headache,Headache finding,590,1
Chronic paroxysmal hemicrania,Headache finding,590,1
Atypical cluster headache,Headache finding,590,1
Chronic post-traumatic headache disorder,Headache finding,590,1
Low pressure headache,Headache finding,590,1
Low pressure headache,Post dural puncture headache,30,1
Headache due to cold exposure,Headache finding,590,1
Headache associated with substance abuse or withdrawal,Headache finding,590,1
Persistent insomnia,Insomnia disorder,70,1
Persistent hypersomnia,Hypersomnia disorder,70,1
Irregular sleep-wake pattern,DSleep rhythm irregular,10,1
Sleep-related bruxism,Sleep automatism,40,1
Sleep-related painful erections,Pain finding,1360,1
Sleep-related painful erections,Painful penile erection,20,1
Idiopathic trigeminal neuralgia,Pain finding,1360,1
Secondary trigeminal neuralgia,Pain finding,1360,1
Cluster tic syndrome,Pain finding,1360,1
Acute painful diabetic neuropathy,Pain finding,1360,1
Diabetic acute painful polyneuropathy,Pain finding,1360,1
Disorders of spinal neurones manifest by hyperactivity,Painful legs and moving toes,40,1
Disorders of spinal neurones manifest by hyperactivity,Painful arms and moving fingers,30,1
Congenital non-progressive ataxia,Ataxia finding,30,1
Dysequilibrium syndrome disorder,Dizziness and giddiness,30,1
Congenital receptive dysphasia,DOther speech disturbance NOS,130,1
Congenital receptive dysphasia,DOther speech disturbance,130,1
Acute sanguinous otitis media,Bleeding from ear,40,1
Otitis media with effusion - sanguinous,Bleeding from ear,40,1
Migrainous vertigo,Subjective vertigo,120,1
Benign recurrent vertigo,Subjective vertigo,120,1
Episodic recurrent vertigo,Subjective vertigo,120,1
Recurrent vestibulopathy,Subjective vertigo,120,1
Episodic recurrent vertigo,Dizziness and giddiness,30,1
Recurrent vestibulopathy,Dizziness and giddiness,30,1
Pharyngeal spasm,Spasm finding,100,1
Acute cardiac pulmonary edema,Acute edema,110,1
Posteruptive tooth staining due to drug,Teeth staining due to drugs,20,1
Amalgam tattoo,Macule morphologic abnormality,50,1
Diarrhea in diabetes,Diarrhea symptom,390,1
Hollow visceral neuropathy,Diarrhea symptom,390,1
Diarrhea in diabetes,Loose stool,390,1
Hollow visceral neuropathy,Loose stool,390,1
Hyperbilirubinemia - conjugated - type III,DJaundice not of newborn,50,1
Hyperbilirubinemia - conjugated - type III,DJaundice not of newborn NOS,50,1
Vomiting - infective,Finding of vomiting,160,1
Vomiting - infective,Vomiting symptom,160,1
Constipation - functional,Constipation disorder,120,1
Constipation - functional,Functional constipation or impacted faeces,10,1
Constipation - functional,Functional constipation or impacted feces,10,1
Disorder of ureter disorder,Ureteric neuromuscular incoordination,20,1
Non-organic primary enuresis,DEnuresis NOS,30,1
Non-organic primary enuresis,Enuresis & bedwetting,30,1
Non-organic primary enuresis,DEnuresis,30,1
Non-organic primary enuresis,Enuresis D,30,1
Non-organic secondary enuresis,DEnuresis NOS,30,1
Non-organic secondary enuresis,Enuresis & bedwetting,30,1
Non-organic secondary enuresis,DEnuresis,30,1
Non-organic secondary enuresis,Enuresis D,30,1
Symptomatic disorders of the urinary tract,DUrinary system symptoms NOS,10,1
Symptomatic disorders of the urinary tract,DUrinary system symptoms,10,1
Endometriosis outside pelvis,Pain finding,1360,1
Perimenopausal disorder,Menopausal symptom,10,1
Perimenopausal disorder,Menopausal headache,30,1
Perimenopausal disorder,Menopausal sleeplessness,10,1
Perimenopausal disorder,Menopausal concentration lack,10,1
Peripheral neuritis in pregnancy,Symptomatic disorders in pregnancy,30,1
Hyperemesis gravidarum with metabolic disturbance - not delivered,Finding of vomiting,160,1
Hyperemesis gravidarum with metabolic disturbance - not delivered,Vomiting symptom,160,1
Hyperemesis gravidarum with metabolic disturbance,Hyperemesis gravidarum,60,1
Hyperemesis gravidarum with metabolic disturbance,Finding of vomiting,160,1
Hyperemesis gravidarum with metabolic disturbance,Vomiting symptom,160,1
Mild hyperemesis-not delivered,Finding of vomiting,160,1
Mild hyperemesis-not delivered,Vomiting symptom,160,1
Mild hyperemesis-delivered,Finding of vomiting,160,1
Mild hyperemesis-delivered,Vomiting symptom,160,1
"Breast engorgement in pregnancy, the puerperium or lactation with antenatal complication",Engorgement of breasts,20,1
Disorder of nipple,Discharge from nipple,10,1
Disorder of nipple,Nipple discharge symptom,10,1
Other pruritic conditions NOS,Pruritus of skin,260,1
Other pruritic conditions NOS,Itching of skin,260,1
Other pruritic conditions NOS,Itch of skin,260,1
Local infection skinsubcut tissue NOS disorder,Skin irritation,30,1
Staphylococcal intertrigo,Erythema of skin,890,1
Staphylococcal intertrigo,Erythematous condition,890,1
Streptococcal intertrigo,Erythema of skin,890,1
Streptococcal intertrigo,Erythematous condition,890,1
Pruriginous atopic dermatitis,Pruritus of skin,260,1
Pruriginous atopic dermatitis,Itching of skin,260,1
Pruriginous atopic dermatitis,Itch of skin,260,1
Subacute prurigo,Pruritus of skin,260,1
Subacute prurigo,Itching of skin,260,1
Subacute prurigo,Itch of skin,260,1
Chronic prurigo,Pruritus of skin,260,1
Chronic prurigo,Itching of skin,260,1
Chronic prurigo,Itch of skin,260,1
Dermographic prurigo,Pruritus of skin,260,1
Dermographic prurigo,Itching of skin,260,1
Dermographic prurigo,Itch of skin,260,1
Prurigo pigmentosa,Pruritus of skin,260,1
Prurigo pigmentosa,Itching of skin,260,1
Prurigo pigmentosa,Itch of skin,260,1
Psoriasis palmaris,Pustular rash morphologic abnormality,70,1
Psoriasis plantaris,Pustular rash morphologic abnormality,70,1
Aquagenic pruritus,Pruritus of skin,260,1
Aquagenic pruritus,Itching of skin,260,1
Aquagenic pruritus,Itch of skin,260,1
Aquagenic pruritus,Other specified pruritic conditions disorder,60,1
Pigmented peribuccal erythrosis of Brocq,Erythema of skin,890,1
Pigmented peribuccal erythrosis of Brocq,Erythematous condition,890,1
Idiopathic livedo reticularis,Pale complexion,80,1
Idiopathic livedo reticularis with winter ulceration,Pale complexion,80,1
Idiopathic livedo reticularis with summer ulceration,Pale complexion,80,1
Erythema papulatum,Erythema of skin,890,1
Erythema papulatum,Erythematous condition,890,1
Erythema tuberculatum,Erythema of skin,890,1
Erythema tuberculatum,Erythematous condition,890,1
Erythema urticatum,Erythema of skin,890,1
Erythema urticatum,Erythematous condition,890,1
Erythema vesiculosum,Erythema of skin,890,1
Erythema vesiculosum,Erythematous condition,890,1
Other exfoliative erythema,Erythema of skin,890,1
Other exfoliative erythema,Erythematous condition,890,1
Other erythematous conditions NOS,Erythema of skin,890,1
Other erythematous conditions NOS,Erythematous condition,890,1
Toxic urticated erythema,Erythema of skin,890,1
Toxic urticated erythema,Erythematous condition,890,1
Non-bullous erythema multiforme,Erythema of skin,890,1
Non-bullous erythema multiforme,Erythematous condition,890,1
Erythema multiforme of pregnancy,Erythema of skin,890,1
Erythema multiforme of pregnancy,Erythematous condition,890,1
Collagen and elastic tissue disorders affecting skin,"Extensive congenital erosions, vesicles and reticulate scarring",30,1
Lipogranulomatosis subcutanea of Rothmann and Makai,Erythema of skin,890,1
Lipogranulomatosis subcutanea of Rothmann and Makai,Erythematous condition,890,1
Skin disorder of umbilicus,Disorder of umbilicus,120,1
Disorder of scalp,Scalp itchy,20,1
Vulvodynia disorder,Pain finding,1360,1
Vulvodynia disorder,Burning sensation of vulva,10,1
Vulvodynia disorder,Vulvovaginal pain,10,1
Vulvodynia disorder,Chronic vaginal pain,20,1
Psoriasiform drug eruption,Psoriasiform rash,10,1
Drug-induced erythroderma,Erythema of skin,890,1
Drug-induced erythroderma,Erythematous condition,890,1
Drug-induced pigmentation,Drug pigmentation,70,1
Kohlschutters syndrome,Seizure,1690,1
Dermatopathia pigmentosa reticularis disorder,Pale complexion,80,1
Prurigo of pregnancy,Pruritus of skin,260,1
Prurigo of pregnancy,Itching of skin,260,1
Prurigo of pregnancy,Itch of skin,260,1
Post-thoracotomy pain syndrome,Chest wall pain finding,10,1
Post-thoracotomy pain syndrome,Postoperative pain,10,1
Tissue expander disorder,Pain from tissue expander,20,1
"Joint disorder NOS, of ankle and foot",Subtalar joint laxity,10,1
"Joint disorder NOS, of ankle and foot",Subtalar joint stiff,10,1
"Joint derangement NOS, of the ankle and foot",Foot joint laxity,10,1
Villonodular synovitis of distal interphalangeal joint of finger,Lump on finger,40,1
Villonodular synovitis of proximal interphalangeal joint of finger,Lump on finger,40,1
Villonodular synovitis of metacarpophalangeal joint,Lump on finger,40,1
Snapping thumb syndrome,DClicking thumb context-dependent category,10,1
Snapping thumb syndrome,DClicking thumb situation,10,1
Fibrositis and nodular fasciitis,Pain finding,1360,1
Infective myositis-foot,Cramp in foot,20,1
Viral myalgia,Pain finding,1360,1
Grunting baby,Grunting respiration finding,10,1
Submammary intertrigo,Erythema of skin,890,1
Submammary intertrigo,Erythematous condition,890,1
Exhaustion - physiological,Exhaustion,20,1
Versive seizure,Seizure,1690,1
Olfactory seizure disorder,Seizure,1690,1
Olfactory seizure disorder,Partial seizure,220,1
Epileptic vertigo,Seizure,1690,1
Epileptic vertigo,Subjective vertigo,120,1
Epileptic vertigo,Vertigo associated with seizures,10,1
Dysmnesic seizure,Seizure,1690,1
Incomitant heterophoria,Incomitant esophoria disorder,20,1
Staring finding,Postbasic stare,10,1
Mechanical low back pain,Low back pain,40,1
Facet joint pain,Joint pain,20,1
Facet joint pain,Other back symptoms or facet joint syndrome,10,1
Neurological pain disorder,Neurogenic pain,20,1
Perineal neuralgia,Pain finding,1360,1
Iliohypogastric nerve neuralgia,Pain finding,1360,1
Painful spasm of anus,Rectal pain finding,10,1
Painful spasm of anus,Anal pain finding,20,1
Diogenes syndrome,Self-neglect,10,1
Liver palms,Erythema of skin,890,1
Liver palms,Erythematous condition,890,1
Rheumatic torticollis,Wry necktorticollis,50,1
Stiff metacarpophalangeal joint NEC,Joint stiffness,10,1
Low level sensorimotor gait disorder,Abnormal gait,20,1
High level sensorimotor gait disorder,Abnormal gait,20,1
High level sensorimotor gait disorder,Staggering gait finding,10,1
Myoclonic encephalopathy,Seizure,1690,1
Visual reflex epilepsy,Seizure,1690,1
Neuropathy disorder,Neuropathic pain,160,1
Hepatic granulomas in berylliosis,Mass of digestive structure,220,1
Erythema marginatum in acute rheumatic fever,Erythema of skin,890,1
Erythema marginatum in acute rheumatic fever,Erythematous condition,890,1
"Sensorineural hearing loss, bilateral",Bilateral central hearing loss,20,1
Lumbago with sciatica,Low back pain,40,1
Neonatal withdrawal symptoms from maternal use of drugs of addiction,Withdrawal sign or symptom,20,1
Withdrawal symptoms from therapeutic use of drugs in newborn,Withdrawal sign or symptom,20,1
Impairment of voice production,DOther speech disturbance NOS,130,1
Impairment of voice production,DOther speech disturbance,130,1
Impairment of speech form,DOther speech disturbance NOS,130,1
Impairment of speech form,DOther speech disturbance,130,1
Disorder of fluency,Acquired stammering,10,1
Dysfluency,DOther speech disturbance NOS,130,1
Dysfluency,DOther speech disturbance,130,1
Hyperkinetic aphonia,Loss of voice,50,1
Hypofunctional aphonia,Loss of voice,50,1
Hyperfunctional aphonia,Loss of voice,50,1
Language-related cognitive disorder,Other and unspecified symbolic dysfunctions,60,1
Language-related cognitive disorder,DOther symbolic dysfunction,60,1
Deep dysgraphia,Coordination problem,120,1
Phonological dysgraphia,Coordination problem,120,1
Surface dysgraphia,Coordination problem,120,1
Oral-verbal dyspraxia,DOther speech disturbance NOS,130,1
Oral-verbal dyspraxia,DOther speech disturbance,130,1
Acquired choreiform dyspraxia,Coordination problem,120,1
Dyspraxia of velopharynx,DOther speech disturbance NOS,130,1
Dyspraxia of velopharynx,DOther speech disturbance,130,1
Velar dyspraxia,Coordination problem,120,1
Restricted sound system,DOther speech disturbance NOS,130,1
Restricted sound system,DOther speech disturbance,130,1
Velopharyngeal mislearning,DOther speech disturbance NOS,130,1
Velopharyngeal mislearning,DOther speech disturbance,130,1
Benedikts syndrome,Hemiplegia disorder,110,1
Snuffles in newborn,Snuffles & neonatal snuffles,10,1
Perinatal neurological disorder,Other newborn abnormal cerebral signs,10,1
Fifth day fits,Seizure,1690,1
Disorder involving the integument of fetus OR newborn,Harlequin change,30,1
Central positional nystagmus,Subjective vertigo,120,1
Central positional vertigo,Subjective vertigo,120,1
Neonatal annular erythema,Erythema of skin,890,1
Neonatal annular erythema,Erythematous condition,890,1
"Hyperhidrosis, premature cavities and premolar aplasia",Excessive sweating,10,1
Chronic low back pain,Low back pain,40,1
Cervicogenic headache,Headache finding,590,1
Internal mammary artery syndrome,Chest pain,40,1
Internal mammary artery syndrome,Persistent pain following procedure,10,1
Complex regional pain syndrome,Pain finding,1360,1
Nervus intermedius neuralgia,Pain finding,1360,1
Piriformis syndrome disorder,Pain finding,1360,1
Piriformis syndrome disorder,Sciatica disorder,70,1
Lumbar facet joint pain,Abdominal pain,40,1
Disorder of soft tissue of body cavity,Blepharospasm disorder,70,1
Disorder of soft tissue of body cavity,Pruritus of vagina,20,1
Disorder of soft tissue of body cavity,Spasmodic torticollis disorder,40,1
Disorder of soft tissue of trunk,Pruritus of penis,30,1
Disorder of soft tissue of trunk,Burning scrotum,40,1
Disorder of soft tissue of trunk,Scrotal pruritus,30,1
Drug-induced melasma,Drug pigmentation,70,1
Localization-related idiopathic epilepsy,Seizure,1690,1
Localization-related symptomatic epilepsy,Seizure,1690,1
Localization-related symptomatic epilepsy with specific precipitant,Seizure,1690,1
Localization-related cryptogenic epilepsy,Seizure,1690,1
Cryptogenic generalized epilepsy,Seizure,1690,1
Epilepsy undetermined whether focal or generalized,Seizure,1690,1
Physiological hyperbilirubinemia,Newborn physiological jaundice disorder,80,1
Prototheca diarrhea,Diarrhea symptom,390,1
Prototheca diarrhea,Loose stool,390,1
Toddler diarrhea,Diarrhea symptom,390,1
Toddler diarrhea,Loose stool,390,1
Protracted diarrhea,Diarrhea symptom,390,1
Protracted diarrhea,Loose stool,390,1
Perineal hematoma,Perineal lump finding,60,1
Neonatal chloridorrhea,Diarrhea symptom,390,1
Neonatal chloridorrhea,Loose stool,390,1
Perinatal hemoptysis,Blood streaked sputum,20,1
Chromatopsia,Chromatic aberration of vision,20,1
Corneal edema due to wearing of contact lenses,Contact lens related red eye,10,1
Localization-relatedfocalpartialidiopathic epilepsy and epileptic syndromes with seizures of localized onset,Seizure,1690,1
Obstetric spinal and epidural anesthesia-induced headache,Headache finding,590,1
Obstetric spinal and epidural anesthesia-induced headache,Reaction to spinal or lumbar puncture disorder,30,1
Obstetric spinal and epidural anesthesia-induced headache,Post dural puncture headache,30,1
CO - postviral syndrome,DOther general symptoms NOS,30,1
CO - postviral syndrome,DOther general symptoms,30,1
CO - postviral syndrome,Nervous system symptoms,10,1
CO - postviral syndrome,Neurological symptom,10,1
Other specified disorders of urinary system,Mass of urinary system structure,30,1
Other specified diseases of urinary system,Mass of urinary system structure,30,1
Other specified disorders of urinary system,Swelling of urological structure,10,1
Other specified diseases of urinary system,Swelling of urological structure,10,1
Other specified conditions of the integument specific to fetus and newborn,Traumatic neonatal facial cyanosis,30,1
Disorder of inner ear,Multisensory dizziness,20,1
Disorder of inner ear,Tinnitus of vascular origin,10,1
Disorder of inner ear,Leudets tinnitus,20,1
Hemiplegia or hemiparesis,Hemiplegia disorder,110,1
Erythema simplex,Erythema of skin,890,1
Erythema simplex,Erythematous condition,890,1
